iter	Passed	Remaining
0	146	146125
1	147	73722
2	148	49467
3	150	37378
4	151	30112
5	152	25261
6	153	21779
7	154	19214
8	156	17188
9	157	15611
10	158	14288
11	160	13182
12	161	12255
13	162	11463
14	164	10823
15	166	10221
16	167	9686
17	168	9202
18	169	8773
19	170	8377
20	171	8014
21	172	7684
22	173	7387
23	174	7111
24	175	6854
25	176	6613
26	177	6393
27	178	6189
28	179	5994
29	179	5817
30	180	5645
31	181	5484
32	182	5334
33	182	5191
34	183	5053
35	183	4922
36	184	4801
37	185	4686
38	185	4576
39	186	4472
40	186	4371
41	187	4275
42	187	4180
43	188	4091
44	188	4006
45	189	3924
46	189	3847
47	190	3773
48	190	3702
49	191	3633
50	191	3566
51	192	3501
52	192	3439
53	192	3380
54	193	3324
55	193	3270
56	194	3216
57	195	3169
58	195	3119
59	196	3070
60	196	3023
61	196	2978
62	197	2934
63	197	2892
64	198	2853
65	198	2813
66	199	2776
67	199	2735
68	200	2700
69	200	2665
70	201	2631
71	201	2598
72	202	2566
73	202	2535
74	203	2504
75	203	2474
76	204	2447
77	204	2418
78	205	2390
79	205	2366
80	206	2339
81	206	2314
82	207	2289
83	207	2265
84	208	2239
85	208	2216
86	208	2192
87	209	2170
88	209	2149
89	210	2128
90	210	2107
91	211	2087
92	212	2068
93	212	2049
94	213	2030
95	213	2012
96	214	1994
97	214	1976
98	215	1958
99	215	1940
100	216	1924
101	216	1906
102	217	1890
103	217	1874
104	218	1859
105	218	1843
106	219	1828
107	219	1813
108	220	1800
109	220	1785
110	221	1771
111	221	1757
112	222	1743
113	222	1729
114	223	1716
115	223	1703
116	224	1690
117	224	1678
118	225	1666
119	225	1654
120	226	1643
121	226	1631
122	226	1618
123	227	1607
124	228	1596
125	228	1585
126	229	1575
127	229	1563
128	230	1553
129	230	1543
130	231	1533
131	231	1523
132	232	1513
133	232	1503
134	233	1494
135	233	1485
136	234	1476
137	234	1466
138	235	1458
139	235	1449
140	236	1440
141	237	1432
142	237	1423
143	238	1416
144	238	1408
145	239	1400
146	239	1391
147	240	1384
148	240	1376
149	241	1368
150	242	1362
151	242	1355
152	243	1348
153	244	1341
154	244	1334
155	245	1326
156	245	1319
157	246	1312
158	246	1305
159	247	1300
160	248	1294
161	248	1287
162	249	1281
163	250	1276
164	250	1269
